Item_ID|Color_ID|Dimension_ID|Size_ID|SKU_ID|Qty_On_Hand|SFA_Qty_On_Hand|Activity_Type_ID|BusinessUnitID|Available_Date|Ret_Price|Program_Price|Product Description|Mat Status|UPC
|||NA|2011844|0|0|U|POWER||19.95||PS BELL HELMETS PATCH 5.5" x 2.75"|50|843142017310

||||2014183|0|0|U|POWER|||59.99|PS APEX EDGE BLUE/SILVER XS 09|60|843142018126

||||2014243|0|0|U|POWER|||55.98|PS MX-1 FRANTIC ORG/SIL XS 09|60|843142018720

||||2014249|0|0|U|POWER|||55.98|PS MX-1 BONES RED/WHT XS 09|60|843142018782

||||2014384|0|0|U|POWER||49.95|34.97|PS STAR VENT KIT C-NOTE|50|843142019383

||||2014390|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT TATTERED 09 M/L|50|843142019444

||||2014395|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT PSYCO MANIC XS/S|50|843142019499

||||2014396|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT PSYCO MANIC M/L|50|843142019505

||||2014397|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT PSYCO MANIC XL/XX|50|843142019512

||||2014400|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT PLAID ORANGE XL/XX|50|843142019543

||||2014402|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT MANIC BLUE M/L|50|843142019567

||||2014404|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT MANIC ORANGE XS/S|50|843142019581

||||2014405|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT MANIC ORANGE M/L|50|843142019598

||||2014414|0|0|U|POWER||19.95|13.97|PS MX-1 PAD SET XS|50|843142019680

||||2014416|0|0|U|POWER||19.95|13.97|PS MX-1 PAD SET S|50|843142019697

||||2014418|0|0|U|POWER||19.95|13.97|PS MX-1 PAD SET M|50|843142019703

||||2014421|0|0|U|POWER||19.95|13.97|PS MX-1 PAD SET XXL|50|843142019734

||||2014428|0|0|U|POWER||14.95|10.47|PS SC-R VECTOR VISOR PINK/SIL|50|843142019789

||||2014431|0|0|U|POWER||14.95|10.47|PS SC-X JR. MANIC VISOR BLUE|50|843142019819

||||2014432|0|0|U|POWER||14.95|10.47|PS SC-X JR. MANIC VISOR ORANGE|50|843142019826

||||2014433|0|0|U|POWER||14.95|10.47|PS SC-X JR. PULSE VISOR RED/BLK|50|843142019833

||||2017500|0|0|U|POWER||599.95|311.97|PS STAR CERWINSKE LE  XS 10|60|843142040202

||||2017512|0|0|U|POWER||549.95|285.97|PS STAR RALLY MATTE BLACK XS 10|60|843142040325

||||2017513|0|0|U|POWER||549.95|285.97|PS STAR RALLY MATTE BLACK S 10|60|843142040332

||||2017514|0|0|U|POWER||549.95|285.97|PS STAR RALLY MATTE BLACK M 10|60|843142040349

||||2017515|0|0|U|POWER||549.95|285.97|PS STAR RALLY MATTE BLACK L 10|60|843142040356

||||2017516|0|0|U|POWER||549.95|285.97|PS STAR RALLY MATTE BLACK XL 10|60|843142040363

||||2017517|0|0|U|POWER||549.95|285.97|PS STAR RALLY MATTE BLACK XXL 10|60|843142040370

||||2017518|0|0|U|POWER||549.95|285.97|PS STAR RALLY RED XS 10|60|843142040387

||||2017519|0|0|U|POWER||549.95|285.97|PS STAR RALLY RED S 10|60|843142040394

||||2017520|0|0|U|POWER||549.95|285.97|PS STAR RALLY RED M 10|60|843142040400

||||2017521|0|0|U|POWER||549.95|285.97|PS STAR RALLY RED L 10|60|843142040417

||||2017522|0|0|U|POWER||549.95|285.97|PS STAR RALLY RED XL 10|60|843142040424

||||2017523|0|0|U|POWER||549.95|285.97|PS STAR RALLY RED XXL 10|60|843142040431

||||2017542|0|0|U|POWER||549.95|285.97|PS STAR BLACK SOLID XS 10|60|843142040622

||||2017543|0|0|U|POWER||549.95|285.97|PS STAR BLACK SOLID S 10|60|843142040639

||||2017544|0|0|U|POWER||549.95|285.97|PS STAR BLACK SOLID M 10|60|843142040646

||||2017545|0|0|U|POWER||549.95|285.97|PS STAR BLACK SOLID L 10|60|843142040653

||||2017546|0|0|U|POWER||549.95|285.97|PS STAR BLACK SOLID XL 10|60|843142040660

||||2017547|0|0|U|POWER||549.95|285.97|PS STAR BLACK SOLID XXL 10|60|843142040677

||||2017548|0|0|U|POWER||549.95|285.97|PS STAR MATTE BLACK SOLID XS 10|60|843142040684

