Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),ItemID,Title,SiteID,Currency,StartPrice,BuyItNowPrice,Quantity,Relationship,RelationshipDetails,CustomLabel
,,,,,49.00,,6,Variation,"Size=Large | Color=Blue",AGS-GTW-BLBL-5L
Revise,311640116811,"AGV Sport Echelon Glove - Flo Orange",eBayMotors,USD,,,0,,"Color=Fluorescent Orange | Size=Large;X-Large;XX-Large;Medium;Small",
,,,,,149.00,,6,Variation,"Size=Large | Color=Fluorescent Orange",AGS-GEC-FLOR-5L
,,,,,149.00,,6,Variation,"Size=X-Large | Color=Fluorescent Orange",AGS-GEC-FLOR-6XL
,,,,,149.00,,6,Variation,"Size=XX-Large | Color=Fluorescent Orange",AGS-GEC-FLOR-7XXL
,,,,,149.00,,6,Variation,"Size=Medium | Color=Fluorescent Orange",AGS-GEC-FLOR-4M
,,,,,149.00,,6,Variation,"Size=Small | Color=Fluorescent Orange",AGS-GEC-FLOR-3S
Revise,361608363677,"AGV Sport Sniper Textile Jacket - Black / Red",eBayMotors,USD,,,0,,"Color=Black / Red | Size=Large;Medium;XX-Large;X-Large;Small",
,,,,,149.00,,6,Variation,"Size=Large | Color=Black / Red",AGT-TSN-BKRD-5L
,,,,,149.00,,6,Variation,"Size=Medium | Color=Black / Red",AGT-TSN-BKRD-4M
,,,,,149.00,,4,Variation,"Size=XX-Large | Color=Black / Red",AGT-TSN-BKRD-7XXL
,,,,,149.00,,6,Variation,"Size=X-Large | Color=Black / Red",AGT-TSN-BKRD-6XL
,,,,,149.00,,4,Variation,"Size=Small | Color=Black / Red",AGT-TSN-BKRD-3S
Revise,311640116821,"AGV Sport Breeze Leather Jacket - Black",eBayMotors,USD,,,0,,"Size=42;50;46;44;52;56;54;40;48 | Color=Black",
,,,,,249.00,,0,Variation,"Size=46 | Color=Black",AGS-JBP-BKBK-46
,,,,,249.00,,0,Variation,"Size=44 | Color=Black",AGS-JBP-BKBK-44
,,,,,249.00,,0,Variation,"Size=52 | Color=Black",AGS-JBP-BKBK-52
,,,,,249.00,,0,Variation,"Size=56 | Color=Black",AGS-JBP-BKBK-56
,,,,,249.00,,0,Variation,"Size=54 | Color=Black",AGS-JBP-BKBK-54
,,,,,249.00,,0,Variation,"Size=40 | Color=Black",AGS-JBP-BKBK-40
,,,,,249.00,,0,Variation,"Size=48 | Color=Black",AGS-JBP-BKBK-48
,,,,,249.00,,1,Variation,"Size=42 | Color=Black",AGS-JBP-BKBK-42
,,,,,249.00,,0,Variation,"Size=50 | Color=Black",AGS-JBP-BKBK-50
